"1";"32";"4"
"4";"1";"61"
"3";"63";NULL
"2";"25";"21"
"78";NULL;NULL
"74";NULL;NULL
"105";NULL;NULL
"79";NULL;NULL
"80";NULL;NULL
"81";NULL;NULL
"146";NULL;NULL
"207";"5";NULL
"83";NULL;NULL
"145";NULL;NULL
"156";NULL;NULL
"157";NULL;NULL
"158";NULL;NULL
"159";NULL;NULL
"161";NULL;NULL
"163";NULL;NULL
"164";NULL;NULL
"165";"73";NULL
"162";"68";NULL
"206";"3";"44"
"235";"59";NULL
"229";"54";NULL
"231";"0";"0"
"212";"61";NULL
"205";NULL;"41"
"228";"36";"0"
"240";"53";"49"
"425";"32";NULL
"521";"26";"29"
"516";"57";"46"
"524";"53";"2"
"556";"30";NULL
"602";"47";"51"
"672";"53";NULL
"549";"43";"38"
"790";"53";"60"
"641";"44";"45"
"804";"41";"39"
"575";"55";"54"
"757";"43";"24"
"563";"45";NULL
"670";"47";"39"
"548";"46";NULL
"694";"88";"48"
"690";"61";"69"
"854";"83";"69"
"945";"16";"38"
"579";"51";"53"
"991";"10";"99"
"1031";"34";NULL
"999";"0";"0"
"1071";NULL;"40"
"1072";"70";"50"
"1077";"0";NULL
"1026";"55";"41"
"915";"49";"39"
"1029";"86";"98"
"1042";"61";"54"
"983";"56";NULL
"1009";"51";NULL
"1055";"51";"51"
"993";"39";"21"
"1054";"53";"49"
"1134";"90";NULL
"1069";"94";"98"
"1017";"49";NULL
"766";"74";NULL
"978";"56";NULL
"1118";"43";"42"
"1108";"10";"23"
"1163";"98";"39"
"1049";"51";NULL
"630";"43";"34"
"857";"53";"52"
"1117";"48";"35"
"1265";"24";NULL
"1258";"51";"48"
"785";"41";"27"
"1093";"86";"78"
"1333";"69";"63"
"971";"54";"54"
"1288";"1";"1"
"594";"45";NULL
"1395";"34";NULL
"866";"44";NULL
"1393";"16";"41"
"868";"99";"38"
"1357";"41";"0"
"1200";"45";"0"
"1143";"85";"93"
"1298";"56";"46"
"1390";"61";"58"
"1238";"83";"57"
"1121";"69";"52"
"1318";"80";"52"
"1275";"90";"89"
"1356";"51";"63"
"1313";"36";NULL
"1449";"61";"49"
"1530";"95";"95"
"1542";"40";"43"
"1235";"99";"69"
"1471";"0";"5"
"1151";"89";"0"
"1598";"27";"27"
"1407";"96";"92"
"1642";"42";NULL
"1609";"36";"29"
"1336";"59";"59"
"1585";"38";NULL
"1556";"38";"13"
"1224";"4";"1"
"1698";NULL;"42"
"723";"38";NULL
"1726";NULL;"33"
"1239";"37";NULL
"1765";"76";"60"
"1641";"91";"91"
"1820";"54";NULL
"1301";"47";NULL
"1854";"0";"26"
"1215";"38";NULL
"1845";"52";"48"
"1852";"84";"49"
"1753";"91";"46"
"849";"39";NULL
"1671";"0";"49"
"1883";"31";"36"
"1625";"53";"34"
"1743";"54";NULL
"1873";"42";"47"
"1752";"49";NULL
"1476";"37";"33"
"1080";"0";NULL
"1669";"0";"0"
"1691";"41";"49"
"1762";"67";"62"
"1688";"99";"0"
"1928";"43";"32"
"1742";"82";"60"
"1940";"51";"43"
"1786";"36";NULL
"1474";"94";NULL
"1709";"51";NULL
"1974";"96";"96"
"1761";"93";"98"
"2006";"53";"0"
"1744";"48";"36"
"1994";"29";"81"
"1764";"39";"43"
"2046";"97";"96"
"1850";"35";"27"
"2044";"21";NULL
"1801";"53";"50"
"1798";"84";"85"
"2048";"51";NULL
"1679";"49";"53"
"1977";"61";NULL
"2137";"9";"28"
"1338";"48";"42"
"2013";"86";"48"
"2181";"98";"97"
"2185";"66";"38"
"1755";"84";"18"
"1433";"56";NULL
"2220";"49";NULL
"2071";"45";"37"
"1783";"49";NULL
"2303";"53";"41"
"2355";"57";"41"
"2332";"43";"6"
"2162";"49";"47"
"1575";"59";"48"
"2190";"35";"32"
"2253";"48";"48"
"2336";"49";NULL
"2370";"98";"89"
"2223";"61";"77"
"1959";"56";"53"
"1991";"58";"13"
"572";"68";"84"
"2420";"58";"56"
"2218";"79";"34"
"2274";"41";"44"
"2429";"88";"87"
"2447";"39";NULL
"2278";"53";"62"
"2351";"59";"98"
"1961";"41";"0"
"2194";"35";NULL
"2501";"23";NULL
"1888";"87";"53"
"2033";"52";NULL
"2502";"85";"48"
"2491";"40";NULL
