"id","deleted_at","created_at","updated_at","section_number","section_title","manual_id"
17,,"2016-04-10 15:28:57","2018-04-16 08:21:59","02","UNIT 1 - INTRODUCTION",98
4,,"2016-04-10 15:29:45","2016-07-26 09:22:22","05","Appendices",98
3,,"2016-04-10 15:29:29","2016-07-26 09:22:28","04","References",98
2,,"2016-04-10 15:29:16","2016-07-26 09:22:36","03","DSM-5 Classification",98
5,,"2016-05-05 17:20:35","2016-07-26 09:22:51","01","Title Page",98
15,,"2016-07-21 09:05:13","2016-07-25 14:46:36","09","UNIT 7 - Assessment",99
14,,"2016-07-21 09:04:35","2016-07-25 14:46:52","08","UNIT 6 - Group Work",99
13,,"2016-07-21 09:03:58","2016-07-25 14:47:03","07","UNIT 5 - Helping Relationships",99
12,,"2016-07-21 09:02:54","2016-07-25 14:47:11","06","UNIT 4 - Career Development",99
11,,"2016-07-21 09:02:19","2016-07-25 14:47:19","05","UNIT 3- Human Growth & Development",99
8,,"2016-07-21 08:57:56","2016-07-25 14:47:30","02","Introduction to the NCE Study Guide",99
6,,"2016-07-14 08:17:22","2016-07-25 14:47:37","01","Title Page",99
10,,"2016-07-21 09:01:28","2016-07-25 14:48:13","04","UNIT 2 - Social and Cultural Diversity",99
20,,"2016-07-21 08:59:35","2016-07-27 13:16:16","03","UNIT 1 - Professional Orientation and Ethical Practice",99
21,,"2016-07-21 09:05:45","2016-07-27 13:53:28","10","UNIT 8 - Research & Program Evaluation",99
